text,category,rating
"""Эксперт РА"" подтвердило кредитный рейтинг АО ""ЭРА Групп"" на уровне <рейтинг> и изменило прогноз на позитивный Москва, 29 декабря 2022 года. Рейтинговое агентство ""Эксперт РА"" подтвердило рейтинг кредитоспособности АО ""ЭРА Групп"" на уровне <рейтинг> и изменило прогноз на позитивный. Ранее рейтинг компании был на уровне <рейтинг> со стабильным прогнозом. "") АО ""ЭРА Групп"" (далее - Компания) объединяет ряд предприятий, эксплуатирующих инфраструктуру пассажирских и грузовых перевозок в Международном аэропорту Красноярск. Аэропорт расположен в непосредственной близости от города Красноярска (<рейтинг>, стабильный.), имеет длину взлетно-посадочной полосы 3700 м и не имеет ограничений по приему воздушных судов, включая сверхтяжелые транспортные суда. Максимальная пропускная способность пассажирского терминала составляет около 5 млн пассажиров в год, что предполагает достаточную свободную пропускную способность, учитывая прогноз пассажиропотока в 3 млн пассажиров в 2022 году.   Установление позитивного прогноза обусловлено сильными операционными и финансовыми результатами Компании в 2022 году, которые способствовали сохранению динамики снижения долговой нагрузки в условиях спада в авиационной отрасли и общего ухудшения макроэкономической ситуации.   Агентство в целом нейтрально оценивает устойчивость аэропортов к внешним шокам, но отмечает хорошую устойчивость компании в сложных макроэкономических условиях 2022 года. Пассажирский сегмент компании демонстрирует стабильные темпы роста, несмотря на снижение международных перевозок, в то время как грузовой сектор заметно проседает из-за санкций, введенных против отдельных компаний и государства. По итогам 9 месяцев 2022 года пассажиропоток компании увеличился на 14% по сравнению с аналогичным периодом 2021 года, грузопоток снизился на 13%. Агентство ожидает, что рост пассажиропотока продолжится в следующем году за счет запуска новых маршрутов внутри страны и роста международных перевозок в азиатские страны.  Переориентация товарных потоков на азиатские рынки окажет поддержку сегменту грузоперевозок, который, как ожидается, также продемонстрирует положительную динамику в следующем году. Отрасль транспортной инфраструктуры характеризуется высокими барьерами для входа новых игроков из-за капиталоемкости проектов.    ПАО ""Аэрофлот"" стало крупнейшей обслуживаемой авиакомпанией в 2022 году (<рейтинг>, разработан) на фоне открытия регионального хаба в аэропорту Красноярска с июня 2021 года.  Второе место занимает базирующееся в аэропорту АО ""АК НордСтар"" (дочернее предприятие ПАО ""ГМК ""Норильский никель"", <рейтинг> стабильный.). Совокупная доля двух операторов составляет около 25% выручки компании.  Крупнейшим заказчиком по объему грузовых операций за четыре квартала, закончившихся 30.06.2022 (далее – отчетный период), стало ООО ""АК Эйрбриджкарго"" (входит в Группу компаний ""Волга-Днепр""), для которого аэропорт выступает в качестве базового и обслуживает большую часть транзитных перевозок (7,7% выручки за 2016 год). отчетный период). Значительное снижение объемов грузоперевозок этой компании в 2022 году было частично компенсировано увеличением объемов грузоперевозок другими авиакомпаниями группы компаний ""Волга-Днепр"" и переходом на других перевозчиков.   Рыночные позиции компании оцениваются умеренно положительно. Износ основных средств Компании по данным бухгалтерского учета составляет около 23% по состоянию на 30.06.2022, что соответствует умеренно положительной оценке. За последние годы компания провела реконструкцию пассажирского терминала и завершила строительство нового грузового комплекса. Оценка рынка сбыта Компании улучшилась с умеренно негативной до нейтральной на фоне повышения уровня среднедушевых доходов населения Красноярского края (36,1 тыс. рублей в 2021 году по сравнению с 32,8 тыс. рублей в 2020 году). Данный фактор сдерживается деятельностью в условиях тарифов, регулируемых Федеральной антимонопольной службой по основным статьям авиационной выручки. 
  Блок финансовых рисков показал незначительное улучшение за счет снижения долговой нагрузки на фоне роста EBITDA и погашения части долга по графику. По состоянию на 30.06.2022 отношение долга к LTM EBITDA (рассчитанное по методологии агентства) находится на уровне 2,3 (по сравнению с 2,9 за аналогичный период прошлого года) и, по прогнозам Компании, будет постепенно снижаться в ближайшие годы. Положительная динамика долговой нагрузки была частично компенсирована негативными изменениями процентной нагрузки. Коэффициент процентных ставок снизился в конце отчетного периода из-за резкого повышения ключевой ставки Центрального банка в 1 полугодии 2022 года. Соответственно, агентство ожидает, что этот коэффициент улучшится в 2023 году на фоне нормализации ставки.   Прогнозируемая ликвидность находится на высоком уровне в связи с прохождением пика капитальных вложений и низким объемом необходимых вспомогательных капитальных вложений, которые Компания будет финансировать за счет операционного денежного потока. У компании удобный график погашения основного кредита.   Рентабельность по EBITDA находится на высоком уровне и превышает 45% за рассматриваемые периоды с 2021 по 2023 год. Компания практически не подвержена валютным рискам благодаря полностью рублевому кредитному портфелю и отсутствию значительных валютных затрат, за исключением небольшой доли импортного специализированного оборудования и комплектующих в структуре капитальных и операционных затрат.   Блок корпоративных рисков в целом оценивается положительно. В компании есть Совет директоров, качество разработки стратегии находится на высоком уровне. Компания готовит годовую и промежуточную финансовую отчетность в соответствии со стандартами МСФО, но не публикует ее в открытом доступе, а также минимально раскрывает операционную статистику.  Согласно консолидированной отчетности АО ""ЭРА Групп"" по стандартам МСФО, выручка за первое полугодие 2022 года составила 1,8 млрд рублей, чистая прибыль – 35 млн рублей.  Контакты для СМИ: pr@raexpert.ru , тел.: +7 (495) 225-34-44.     Кредитный рейтинг АО ""ЭРА Групп"" был впервые опубликован 30.12.2021. Предыдущий рейтинговый пресс-релиз, посвященный этому рейтинговому объекту, был опубликован 30.12.2021. Кредитный рейтинг был присвоен по российской национальной шкале и является долгосрочным. Пересмотр кредитного рейтинга и его прогноза ожидается не позднее чем через один год с даты присвоения или последнего пересмотра.     При присвоении кредитного рейтинга применялась методика присвоения кредитных рейтингов нефинансовым компаниям (вступила в силу 01.08.2022) и методика оценки внешнего влияния (вступила в силу 06.05.2022). https://raexpert.ru/ratings/methods/current . "") Присвоенный рейтинг и его прогноз отражают всю имеющуюся в распоряжении АО ""Эксперт РА"" существенную информацию об объекте рейтинга, надежность и качество которой, по мнению АО ""Эксперт РА"", являются надлежащими. Ключевыми источниками информации, использованными при анализе рейтинга, были данные Банка России, АО ""ЭРА Групп"", а также данные АО ""Эксперт РА"". Информации, использованной АО ""Эксперт РА"" в рамках рейтингового анализа, было достаточно для применения данной методологии.     Кредитный рейтинг был присвоен в рамках заключенного соглашения, в присвоении рейтинга участвовало АО ""ЭРА Групп"".     Количество участников рейтингового комитета было достаточным для обеспечения кворума. Ведущий рейтинговый аналитик представил членам рейтингового комитета факторы, влияющие на рейтинг, члены комитета высказали свои мнения и предложения. Председатель рейтингового комитета предоставил возможность каждому члену рейтингового комитета высказать свое мнение до начала процедуры голосования.     АО ""Эксперт РА"" не предоставляло дополнительных услуг АО ""ERA Group"" в течение последних 12 месяцев.      Кредитные рейтинги, присвоенные АО ""Эксперт РА"", выражают мнение АО ""Эксперт РА"" относительно способности оцениваемого субъекта (эмитента) выполнять свои финансовые обязательства и (или) кредитного риска его отдельных финансовых обязательств и не являются установлением фактов или рекомендацией покупать, удерживать или продавать определенные ценные бумаги или активы, принимайте инвестиционные решения.     Рейтинги, присвоенные АО ""Эксперт РА"", отражают всю информацию, относящуюся к объекту рейтинга и имеющуюся в распоряжении АО ""Эксперт РА"", качество и надежность которой, по мнению АО ""Эксперт РА"", являются соответствующими.     АО ""Эксперт РА"" не проводит аудит отчетов и других данных, представленных лицами, получившими рейтинг, и не несет ответственности за их точность и полноту. АО ""Эксперт РА"" не несет ответственности в связи с какими-либо последствиями, интерпретациями, выводами, рекомендациями и иными действиями третьих лиц, прямо или косвенно связанными с рейтингом, рейтинговыми действиями, осуществляемыми АО ""Эксперт РА"", а также выводами и умозаключениями, содержащимися в пресс-релизах, выпущенных АО ""Эксперт РА"", или отсутствием всех из вышеперечисленного.     Предоставленная информация является актуальной на дату ее публикации. АО ""Эксперт РА"" имеет право вносить изменения в предоставленную информацию без дополнительного уведомления, если иное не предусмотрено договором с контрагентом или требованиями законодательства Российской Федерации. Единственным источником, отражающим текущее состояние рейтинга, является официальный сайт АО ""Эксперт РА"" www.raexpert.ru .",A,A+
"""Эксперт РА"" присвоило рейтинг Simidella Limited на уровне <рейтинг> Москва, 28 декабря 2022 года. Рейтинговое агентство ""Эксперт РА"" присвоило кредитный рейтинг нефинансовой компании Simidella Limited на уровне <рейтинг>. Прогноз по рейтингу стабильный. "") Simidella Limited является материнской компанией и основным акционером Группы компаний Unitail (далее именуемой Unitail Group или GC), крупного производителя отделочных и строительных материалов в России с годовым объемом производства 26,5 млн м2 плитки и керамогранита и 60 млн штук облицовочного кирпича. Помимо трех производственных предприятий в Ростовской и Воронежской областях, в операционную структуру группы входит Владимирский карьер огнеупорной глины, на котором ежегодно добывается более 395 тыс. тонн шихты, 55 тыс. тонн песка и 523 тыс. тонн щебня.  тонны глины.    Агентство оценивает профиль рисков отрасли, в которой работает группа, умеренно негативно. Рынок керамической плитки и керамогранита характеризуется высокой волатильностью и низкой устойчивостью к внешним потрясениям. Инфляционный рост цен на сырье и транспортные услуги оказывает существенное влияние на операционную и финансовую деятельность участников рынка, в результате чего конкурентные преимущества получают компании, имеющие меньшие логистические рычаги в процессе доставки сырья на производственные площадки, а также диверсифицированные каналы сбыта продукции. Введенные в 2022 году ограничения на поставки импортного оборудования и комплектующих в Россию негативно сказались на инвестиционной активности участников рынка, заморозив проекты по расширению и модернизации производственных линий. В результате увеличения капиталоемкости производства снизились риски появления новых конкурентов: барьеры для входа на рынок оцениваются как умеренные. В целом российский рынок керамической плитки и керамогранита консолидирован: на долю шести крупнейших производителей приходится более 60% от общего объема рынка, при этом состав участников рынка за последние пять лет практически не изменился. Конкуренция со стороны иностранных поставщиков из Индии незначительна из-за того, что импортируется номенклатурная группа, которая наименее представлена в продуктовой линейке российских производителей.   На оценку рынка и конкурентных позиций Unitail Group положительно влияет тот факт, что группа занимает второе место на российском рынке по производству керамической плитки, незначительно уступая лидеру рынка. Прочные позиции на рынке обеспечиваются наличием конкурентных преимуществ группы по отношению к ее ближайшим конкурентам, одним из которых является географическое расположение производственных мощностей вблизи морских портов, через которые сырье поставляется из Турции, что позволяет снизить затраты на логистику.  Тем не менее, бизнес группы характеризуется сдержанной диверсификацией ассортимента продукции, поскольку более 70% выручки приходится на производство и продажу плитки. Несмотря на наличие нескольких производственных площадок в Ростовской и Воронежской областях, большую часть консолидированной выручки обеспечивает ООО ""Шахтинская керамика"" с долей 68% в общей выручке группы за 2021 год, в связи с чем риски концентрации активов оцениваются как высокие. Риски зависимости от труднозаменяемого поставщика оцениваются как низкие, в то время как продажи отличаются высокой диверсификацией.    Unitail Group характеризуется низким уровнем долговой нагрузки. Показатель чистый долг/EBITDA, рассчитанный в соответствии с методологией агентства, по состоянию на 31.12.2021 (далее - отчетная дата) составил 1,7х, продемонстрировав улучшение по сравнению с показателем на конец 2020 года. Текущий уровень долговой нагрузки группы оценивается как комфортный. Возможное увеличение долгового портфеля в 2023 году, по расчетам агентства, не должно привести к существенному ухудшению оценки долговой нагрузки, и показатель чистый долг/EBITDA останется примерно на уровне 2,0х, что будет в пределах целевых показателей группы. Политика группы по увеличению доли более маржинальных продуктов приведет к увеличению EBITDA в последующие годы, что положительно скажется на уровне процентной нагрузки: если по состоянию на 31.12.2021 коэффициент покрытия процентных расходов по EBITDA составлял 7,0х, то в 2022-2023 годах агентство ожидает дальнейшего увеличения этого показателя, при условии, что процентные ставки по займам останутся на текущем уровне.   В целом, группа продемонстрировала высокие показатели прибыльности в 2021 году (далее - отчетный период). Несмотря на увеличение операционных расходов, связанных с повышением цен на сырье и логистические услуги, рентабельность по EBITDA составила 21%, что сопоставимо с показателями ближайших конкурентов на рынке. По итогам 2022-2023 годов группа планирует достичь более высоких показателей EBITDA и рентабельности по FCF за счет систематического развития более маржинальных направлений бизнеса, а также дальнейшей диверсификации каналов продаж с акцентом на B2B и прямые контракты.   Прогнозируемая ликвидность группы находится на высоком уровне. Операционный денежный поток на горизонте 12 месяцев с отчетной даты полностью покроет процентные расходы, выплаты по основному долгу, вспомогательные расходы и дивидендные выплаты. В рамках оценки качественного уровня ликвидности агентство отмечает низкую диверсификацию долгового портфеля в разрезе кредиторов. В то же время риски рефинансирования оцениваются как незначительные.    В связи с тем, что группа закупает сырье и запасные части у иностранных поставщиков, ее финансовая деятельность подвержена валютным рискам, что влияет на окончательную оценку рыночных рисков. Несмотря на то, что группа не использует инструменты хеджирования, агентство не ожидает реализации валютного риска, принимая во внимание тот факт, что колебания валютных курсов частично покрываются ценообразованием на продукцию.   Корпоративный блок находится в стадии трансформации и развития. В этом блоке сдерживающий эффект оказывает сложная многоуровневая структура собственности, а также отсутствие единого совета директоров, осуществляющего общее управление активами Unitail Group. На данный момент каждое операционное подразделение группы имеет независимый совет директоров, подотчетный акционеру. Тем не менее, агентство положительно оценивает тот факт, что группа работает над формированием единого совета директоров, что в будущем может оказать положительное влияние на оценку корпоративного управления.  Полномочия единоличного исполнительного органа переданы ООО ""Управляющая компания ""Юнитейл"".   В рамках оценки корпоративного блока агентство также отмечает довольно низкую прозрачность бизнеса: несмотря на то, что группа готовит ежегодную аудированную финансовую отчетность в соответствии со стандартами МСФО, она не публикует эту информацию на своем официальном сайте и не раскрывает ее неограниченному кругу лиц. Группа планирует начать подготовку полугодовой финансовой отчетности в соответствии со стандартами МСФО начиная с 2024 года.    Агентство положительно оценивает качество стратегического планирования Unitail Group. Стратегия формируется на срок не менее трех лет, в то время как финансовая модель, представленная агентству, содержит исчерпывающую информацию об операционных и финансовых показателях группы. Ретроспективный анализ прогнозов подтверждает высокое качество планирования: основные операционные и финансовые показатели выполняются, отклонения фактических показателей от плана имеют объективные причины.   Агентство также отмечает наличие элементов управления рисками - в группе сформирована система управления рисками, в рамках которой ежемесячно формируются отчеты с анализом основных рисков и рекомендациями по их устранению.    Согласно консолидированной отчетности по МСФО, выручка группы за 2021 год составила 9,0 млрд рублей, прибыль – 5,2 млн рублей.  Контакты для СМИ: pr@raexpert.ru , тел.: +7 (495) 225-34-44.     Кредитный рейтинг Simidella Limited присваивается впервые.     Кредитный рейтинг присвоен по российской национальной шкале и является долгосрочным. Пересмотр кредитного рейтинга и его прогноза ожидается не позднее чем через один год с даты присвоения или последнего пересмотра.     При присвоении кредитного рейтинга применялась методика присвоения кредитных рейтингов нефинансовым компаниям (вступила в силу 01.08.2022) и методика оценки внешнего влияния на кредитный рейтинг (вступила в силу 06.05.2022). https://raexpert.ru/ratings/methods/current . "") Присвоенный рейтинг и его прогноз отражают всю имеющуюся в распоряжении АО ""Эксперт РА"" существенную информацию об объекте рейтинга, надежность и качество которой, по мнению АО ""Эксперт РА"", являются надлежащими. Ключевыми источниками информации, использованными при анализе рейтинга, были данные Банка России, Simidella Limited, а также данные АО ""Эксперт РА"".  Информация, использованная АО ""Эксперт РА"" в рамках рейтингового анализа, была",BBB,BBB+
"Подтверждение кредитного рейтинга Russian Copper Company Limited вместе с ее дочерними компаниями (далее именуемыми ""Компания"", RMK Group) является следствием поддержания кредитных показателей в пределах диапазонов, установленных для данного уровня рейтинга.   Кредитный рейтинг Компании обусловлен сильной позицией на рынке и высокой оценкой бизнес-профиля, что, в свою очередь, определяется низкой себестоимостью производства меди и очень высокой ресурсной базой. Уровень рейтинга Компании поддерживается высокой оценкой географической диверсификации продаж и высоким уровнем корпоративного управления. Ограничивающим фактором для рейтинга является низкое значение взвешенного индекса свободного денежного потока (FCF) из-за пика инвестиционных расходов, который приходится на прогнозируемый период 2022-2025 годов.   Группа RMK является второй по величине компанией в России по объему производства меди в концентрате и первой по доказанным запасам на балансе (шестая по этому показателю в мире). Благодаря запуску новых проектов компания в ближайшие годы займет первое место в России по объему производства меди и станет одной из крупнейших в стране по объему добычи золота. Группа RMK - вертикально интегрированный горно-металлургический холдинг, осуществляющий полный цикл производства меди - от добычи руды и ее обогащения до выплавки металла.  Ключевые факторы оценки Сильный бизнес-профиль отражает сильные позиции компании по ряду субфакторов, таких как себестоимость продукции и достаточность ресурсной базы. Стоимость компании по производству меди находится в первом квартиле глобальной кривой затрат. Запасы компании, подтвержденные международным аудитом, составляют более 22 миллионов тонн меди, что, с учетом достигнутого уровня добычи, гарантирует более чем 40-летний срок эксплуатации. В то же время Компания продолжает активно наращивать свою ресурсную базу. Субфактор диверсификации продукции получил среднюю оценку в связи с тем, что на долю меди приходится более 70% выручки компании. Высокая оценка географической диверсификации продаж учитывает значительную долю экспорта в структуре выручки (более 50%).    Высокий уровень корпоративного управления.  У компании есть четкие стратегические ориентиры по увеличению объемов производства и расширению своей ресурсной базы с целью увеличения своей доли на рынке. Успешная реализация новых проектов в срок и в рамках утвержденных бюджетов доказала высокую компетентность руководства и владельцев компании, которые превратили некогда региональную компанию по торговле медью в вертикально интегрированный производственный холдинг со значительной долей мирового производства меди, не говоря уже о значительной доле в российском производстве. Высокая оценка субфактора ""Управление рисками"" является следствием комплексного подхода к выявлению ключевых факторов риска и активной политики по их предотвращению, особенно в отношении производственных рисков, связанных с добычей и переработкой руды, а также выплавкой металла. Средняя оценка субфактора ""Структура управления"" учитывает небольшой состав совета директоров, состоящий из трех членов. Принимая во внимание непубличный характер Компании, АКРА понимает необходимость и целесообразность такого состава совета директоров на данном этапе ее развития. Субфактор ""Структура группы"" получил высокую оценку благодаря четкой и простой структуре, присущей вертикально интегрированным холдингам. Субфактор ""Финансовая прозрачность"" был оценен на среднем уровне для корпоративного сегмента, поскольку, несмотря на наличие подробной информации в отчетности по МСФО и презентационных материалах, эти документы не являются общедоступными.    Оценка профиля финансовых рисков учитывает очень высокое значение показателя размера бизнеса (абсолютное значение FFO до чистых процентных выплат и налогов превышает 100 млрд рублей), очень высокую рентабельность (рентабельность FFO до вычета процентов и налогов составила 60% по итогам 2021 года и составляет ожидается, что по итогам 2022 года он составит 49%), средняя оценка долговой нагрузки (отношение общего долга к FFO до чистых процентных выплат составило 2,5х по результатам 2021 года и, как ожидается, составит 4,2 х по результатам 2022 года) и средняя оценка обслуживания долга (соотношение от FFO до чистых процентных выплат к процентным платежам составил 6,1x по итогам 2021 года и, как ожидается, составит 3,0x по итогам 2022 года). Низкое значение показателя FCF оказывает сдерживающее влияние на оценку профиля финансовых рисков и, в конечном счете, на рейтинг. По итогам 2020 и 2021 годов значение показателя было близким к нулю. В 2022 году АКРА ожидает отрицательное значение показателя FCF из-за увеличения инвестиционных затрат, а также на фоне выплат дивидендов акционерам. АКРА ожидает, что значение FCF будет стабильно положительным после 2023 года.   Оценка ликвидности Компании находится на высоком уровне из-за наличия значительной денежной позиции на счетах и объема невыбранных лимитов в рамках предоставленных банковских линий. По состоянию на 30.11.2022 общий объем ликвидности составлял 1,4 миллиарда долларов. С запланированными выплатами в 2022 и 2023 годах на сумму 1,2 миллиарда долларов.  Основные допущения цена на медь за тонну: 8 800 долларов США в 2022 году, 8 600 долларов США в 2023 году и 9 000 долларов США в 2024 году; объем производства в соответствии с бизнес-планом Компании; капитальные затраты в соответствии с бизнес-планом Компании; консервативные выплаты дивидендов в связи с приоритетом снижения долговой нагрузки.       Факторы возможного изменения прогноза или рейтинга ""Стабильный"" прогноз предполагает с высокой степенью вероятности, что рейтинг останется неизменным в течение 12-18 месяцев.    Положительное рейтинговое действие может привести к: снижению показателя долговой нагрузки (совокупный долг перед FFO до чистых процентных выплат) ниже уровня 2,0x и увеличению отношения FFO к чистым процентным выплатам до процентных платежей выше 5,0x.        Негативное рейтинговое действие может привести к: снижению отношения FFO к чистым процентным выплатам до процентных выплат ниже 2,5х.      Составляющие рейтинга USC: a+.    Поддержка: Отсутствует.  Рейтинги выпусков Рейтинги выпусков, находящихся в обращении, не присваиваются.  Раскрытие информации регулирующими органами Кредитный рейтинг был присвоен по национальной шкале для Российской Федерации на основе Методологии присвоения кредитных рейтингов нефинансовым компаниям по Национальной шкале для Российской Федерации, а также основных концепций, используемых Аналитическим кредитным рейтинговым агентством в рейтинговой деятельности.   Впервые кредитный рейтинг Russian Copper Company Limited был опубликован АКРА 30.12.2021. Следующий пересмотр кредитного рейтинга и прогноза по кредитному рейтингу Russian Copper Company Limited ожидается в течение одного года с даты публикации настоящего пресс-релиза.   Кредитный рейтинг был присвоен на основании данных, предоставленных RMK Group, информации из открытых источников, а также баз данных ACRA. Запрашивается кредитный рейтинг, группа RMK участвовала в процессе присвоения кредитного рейтинга.   При присвоении кредитного рейтинга использовалась информация, качество и достоверность которой, по мнению АКРА, являются надлежащими и достаточными для применения методик.   АКРА не предоставляло дополнительных услуг группе RMK. В рамках процесса присвоения кредитного рейтинга не было выявлено никаких конфликтов интересов.",A,A+
